date,step_number,step_name,users,conversion_rate_from_prev,conversion_rate_from_start
2024-11-11,3,購入手続き開始,756,0.6141,0.1273
2024-11-11,4,購入完了,322,0.4259,0.0542
2024-11-12,1,商品閲覧,8001,1.0,1.0
2024-11-12,2,カート追加,1621,0.2026,0.2026
2024-11-12,3,購入手続き開始,854,0.5268,0.1067
2024-11-12,4,購入完了,530,0.6206,0.0662
2024-11-13,1,商品閲覧,7659,1.0,1.0
2024-11-13,2,カート追加,1218,0.159,0.159
2024-11-13,3,購入手続き開始,658,0.5402,0.0859
2024-11-13,4,購入完了,471,0.7158,0.0615
2024-11-14,1,商品閲覧,7055,1.0,1.0
2024-11-14,2,カート追加,1420,0.2013,0.2013
2024-11-14,3,購入手続き開始,734,0.5169,0.104
2024-11-14,4,購入完了,554,0.7548,0.0785
2024-11-15,1,商品閲覧,7566,1.0,1.0
2024-11-15,2,カート追加,1840,0.2432,0.2432
2024-11-15,3,購入手続き開始,1184,0.6435,0.1565
2024-11-15,4,購入完了,519,0.4383,0.0686
2024-11-16,1,商品閲覧,6959,1.0,1.0
2024-11-16,2,カート追加,1199,0.1723,0.1723
2024-11-16,3,購入手続き開始,761,0.6347,0.1094
2024-11-16,4,購入完了,488,0.6413,0.0701
2024-11-17,1,商品閲覧,8112,1.0,1.0
2024-11-17,2,カート追加,1243,0.1532,0.1532
2024-11-17,3,購入手続き開始,823,0.6621,0.1015
2024-11-17,4,購入完了,516,0.627,0.0636
2024-11-18,1,商品閲覧,9588,1.0,1.0
2024-11-18,2,カート追加,1961,0.2045,0.2045
2024-11-18,3,購入手続き開始,1356,0.6915,0.1414
2024-11-18,4,購入完了,744,0.5487,0.0776
2024-11-19,1,商品閲覧,5531,1.0,1.0
2024-11-19,2,カート追加,1299,0.2349,0.2349
2024-11-19,3,購入手続き開始,741,0.5704,0.134
2024-11-19,4,購入完了,379,0.5115,0.0685
2024-11-20,1,商品閲覧,7394,1.0,1.0
2024-11-20,2,カート追加,1564,0.2115,0.2115
2024-11-20,3,購入手続き開始,882,0.5639,0.1193
2024-11-20,4,購入完了,372,0.4218,0.0503
2024-11-21,1,商品閲覧,4943,1.0,1.0
2024-11-21,2,カート追加,858,0.1736,0.1736
2024-11-21,3,購入手続き開始,453,0.528,0.0916
2024-11-21,4,購入完了,196,0.4327,0.0397
2024-11-22,1,商品閲覧,5585,1.0,1.0
2024-11-22,2,カート追加,1250,0.2238,0.2238
2024-11-22,3,購入手続き開始,854,0.6832,0.1529
2024-11-22,4,購入完了,341,0.3993,0.0611
2024-11-23,1,商品閲覧,7676,1.0,1.0
2024-11-23,2,カート追加,1644,0.2142,0.2142
2024-11-23,3,購入手続き開始,855,0.5201,0.1114
2024-11-23,4,購入完了,467,0.5462,0.0608
2024-11-24,1,商品閲覧,9458,1.0,1.0
2024-11-24,2,カート追加,1956,0.2068,0.2068
2024-11-24,3,購入手続き開始,1283,0.6559,0.1357
2024-11-24,4,購入完了,534,0.4162,0.0565
2024-11-25,1,商品閲覧,7714,1.0,1.0
2024-11-25,2,カート追加,1354,0.1755,0.1755
2024-11-25,3,購入手続き開始,820,0.6056,0.1063
2024-11-25,4,購入完了,340,0.4146,0.0441
2024-11-26,1,商品閲覧,6624,1.0,1.0
2024-11-26,2,カート追加,1052,0.1588,0.1588
2024-11-26,3,購入手続き開始,669,0.6359,0.101
2024-11-26,4,購入完了,239,0.3572,0.0361
2024-11-27,1,商品閲覧,9013,1.0,1.0
2024-11-27,2,カート追加,1622,0.18,0.18
2024-11-27,3,購入手続き開始,1090,0.672,0.1209
2024-11-27,4,購入完了,408,0.3743,0.0453
2024-11-28,1,商品閲覧,5632,1.0,1.0
2024-11-28,2,カート追加,1265,0.2246,0.2246
2024-11-28,3,購入手続き開始,691,0.5462,0.1227
2024-11-28,4,購入完了,387,0.5601,0.0687
2024-11-29,1,商品閲覧,7312,1.0,1.0
2024-11-29,2,カート追加,1122,0.1534,0.1534
2024-11-29,3,購入手続き開始,747,0.6658,0.1022
2024-11-29,4,購入完了,426,0.5703,0.0583
2024-11-30,1,商品閲覧,12210,1.0,1.0
2024-11-30,2,カート追加,2604,0.2133,0.2133
2024-11-30,3,購入手続き開始,1485,0.5703,0.1216
2024-11-30,4,購入完了,589,0.3966,0.0482
2024-12-01,1,商品閲覧,6802,1.0,1.0
2024-12-01,2,カート追加,1532,0.2252,0.2252
2024-12-01,3,購入手続き開始,988,0.6449,0.1453
2024-12-01,4,購入完了,446,0.4514,0.0656
2024-12-02,1,商品閲覧,7400,1.0,1.0
2024-12-02,2,カート追加,1650,0.223,0.223
2024-12-02,3,購入手続き開始,1098,0.6655,0.1484
2024-12-02,4,購入完了,450,0.4098,0.0608
2024-12-03,1,商品閲覧,5816,1.0,1.0
2024-12-03,2,カート追加,1239,0.213,0.213
2024-12-03,3,購入手続き開始,725,0.5851,0.1247
2024-12-03,4,購入完了,431,0.5945,0.0741
2024-12-04,1,商品閲覧,5419,1.0,1.0
2024-12-04,2,カート追加,1165,0.215,0.215
2024-12-04,3,購入手続き開始,675,0.5794,0.1246
2024-12-04,4,購入完了,290,0.4296,0.0535
2024-12-05,1,商品閲覧,6462,1.0,1.0
2024-12-05,2,カート追加,1157,0.179,0.179
2024-12-05,3,購入手続き開始,704,0.6085,0.1089
2024-12-05,4,購入完了,575,0.8168,0.089
2024-12-06,1,商品閲覧,6945,1.0,1.0
2024-12-06,2,カート追加,1195,0.1721,0.1721
2024-12-06,3,購入手続き開始,723,0.605,0.1041
2024-12-06,4,購入完了,461,0.6376,0.0664
2024-12-07,1,商品閲覧,10667,1.0,1.0
2024-12-07,2,カート追加,2453,0.23,0.23
2024-12-07,3,購入手続き開始,1464,0.5968,0.1372
2024-12-07,4,購入完了,492,0.3361,0.0461
2024-12-08,1,商品閲覧,6271,1.0,1.0
2024-12-08,2,カート追加,1033,0.1647,0.1647
2024-12-08,3,購入手続き開始,583,0.5644,0.093
2024-12-08,4,購入完了,332,0.5695,0.0529
2024-12-09,1,商品閲覧,6508,1.0,1.0
2024-12-09,2,カート追加,1502,0.2308,0.2308
2024-12-09,3,購入手続き開始,982,0.6538,0.1509
2024-12-09,4,購入完了,450,0.4582,0.0691
2024-12-10,1,商品閲覧,6689,1.0,1.0
2024-12-10,2,カート追加,1415,0.2115,0.2115
2024-12-10,3,購入手続き開始,776,0.5484,0.116
2024-12-10,4,購入完了,542,0.6985,0.081
2024-12-11,1,商品閲覧,6042,1.0,1.0
2024-12-11,2,カート追加,1481,0.2451,0.2451
2024-12-11,3,購入手続き開始,907,0.6124,0.1501
2024-12-11,4,購入完了,389,0.4289,0.0644
2024-12-12,1,商品閲覧,8088,1.0,1.0
2024-12-12,2,カート追加,1861,0.2301,0.2301
2024-12-12,3,購入手続き開始,1198,0.6437,0.1481
2024-12-12,4,購入完了,476,0.3973,0.0589
2024-12-13,1,商品閲覧,6382,1.0,1.0
2024-12-13,2,カート追加,1569,0.2458,0.2458
2024-12-13,3,購入手続き開始,971,0.6189,0.1521
2024-12-13,4,購入完了,296,0.3048,0.0464
2024-12-14,1,商品閲覧,9841,1.0,1.0
2024-12-14,2,カート追加,2311,0.2348,0.2348
2024-12-14,3,購入手続き開始,1465,0.6339,0.1489
2024-12-14,4,購入完了,701,0.4785,0.0712
2024-12-15,1,商品閲覧,10576,1.0,1.0
2024-12-15,2,カート追加,1834,0.1734,0.1734
2024-12-15,3,購入手続き開始,1053,0.5742,0.0996
2024-12-15,4,購入完了,450,0.4274,0.0425
2024-12-16,1,商品閲覧,6562,1.0,1.0
2024-12-16,2,カート追加,1316,0.2005,0.2005
2024-12-16,3,購入手続き開始,777,0.5904,0.1184
2024-12-16,4,購入完了,520,0.6692,0.0792
2024-12-17,1,商品閲覧,5444,1.0,1.0
2024-12-17,2,カート追加,1149,0.2111,0.2111
2024-12-17,3,購入手続き開始,755,0.6571,0.1387
2024-12-17,4,購入完了,284,0.3762,0.0522
2024-12-18,1,商品閲覧,5012,1.0,1.0
2024-12-18,2,カート追加,1168,0.233,0.233
2024-12-18,3,購入手続き開始,727,0.6224,0.1451
2024-12-18,4,購入完了,310,0.4264,0.0619
2024-12-19,1,商品閲覧,5935,1.0,1.0
2024-12-19,2,カート追加,1064,0.1793,0.1793
2024-12-19,3,購入手続き開始,648,0.609,0.1092
2024-12-19,4,購入完了,251,0.3873,0.0423
2024-12-20,1,商品閲覧,7204,1.0,1.0
2024-12-20,2,カート追加,1504,0.2088,0.2088
2024-12-20,3,購入手続き開始,1027,0.6828,0.1426
2024-12-20,4,購入完了,300,0.2921,0.0416
2024-12-21,1,商品閲覧,9781,1.0,1.0
2024-12-21,2,カート追加,2416,0.247,0.247
2024-12-21,3,購入手続き開始,1530,0.6333,0.1564
2024-12-21,4,購入完了,481,0.3144,0.0492
2024-12-22,1,商品閲覧,12061,1.0,1.0
2024-12-22,2,カート追加,2813,0.2332,0.2332
2024-12-22,3,購入手続き開始,1558,0.5539,0.1292
2024-12-22,4,購入完了,651,0.4178,0.054
2024-12-23,1,商品閲覧,5085,1.0,1.0
2024-12-23,2,カート追加,883,0.1736,0.1736
2024-12-23,3,購入手続き開始,442,0.5006,0.0869
2024-12-23,4,購入完了,251,0.5679,0.0494
2024-12-24,1,商品閲覧,7039,1.0,1.0
2024-12-24,2,カート追加,1058,0.1503,0.1503
2024-12-24,3,購入手続き開始,681,0.6437,0.0967
2024-12-24,4,購入完了,475,0.6975,0.0675
2024-12-25,1,商品閲覧,5747,1.0,1.0
2024-12-25,2,カート追加,1041,0.1811,0.1811
2024-12-25,3,購入手続き開始,679,0.6523,0.1181
2024-12-25,4,購入完了,318,0.4683,0.0553
2024-12-26,1,商品閲覧,6204,1.0,1.0
2024-12-26,2,カート追加,1535,0.2474,0.2474
2024-12-26,3,購入手続き開始,964,0.628,0.1554
2024-12-26,4,購入完了,291,0.3019,0.0469
2024-12-27,1,商品閲覧,6235,1.0,1.0
2024-12-27,2,カート追加,1125,0.1804,0.1804
2024-12-27,3,購入手続き開始,612,0.544,0.0982
2024-12-27,4,購入完了,496,0.8105,0.0796
2024-12-28,1,商品閲覧,8669,1.0,1.0
2024-12-28,2,カート追加,1655,0.1909,0.1909
2024-12-28,3,購入手続き開始,1155,0.6979,0.1332
2024-12-28,4,購入完了,483,0.4182,0.0557
2024-12-29,1,商品閲覧,4985,1.0,1.0
2024-12-29,2,カート追加,846,0.1697,0.1697
2024-12-29,3,購入手続き開始,454,0.5366,0.0911
2024-12-29,4,購入完了,299,0.6586,0.06
2024-12-30,1,商品閲覧,6300,1.0,1.0
2024-12-30,2,カート追加,1167,0.1852,0.1852
2024-12-30,3,購入手続き開始,690,0.5913,0.1095
2024-12-30,4,購入完了,472,0.6841,0.0749
2024-12-31,1,商品閲覧,6413,1.0,1.0
2024-12-31,2,カート追加,1221,0.1904,0.1904
2024-12-31,3,購入手続き開始,635,0.5201,0.099
2024-12-31,4,購入完了,384,0.6047,0.0599
2025-01-01,1,商品閲覧,5461,1.0,1.0
2025-01-01,2,カート追加,872,0.1597,0.1597
2025-01-01,3,購入手続き開始,573,0.6571,0.1049
2025-01-01,4,購入完了,322,0.562,0.059
2025-01-02,1,商品閲覧,4928,1.0,1.0
2025-01-02,2,カート追加,1095,0.2222,0.2222
2025-01-02,3,購入手続き開始,639,0.5836,0.1297
2025-01-02,4,購入完了,276,0.4319,0.056
2025-01-03,1,商品閲覧,5114,1.0,1.0
2025-01-03,2,カート追加,817,0.1598,0.1598
2025-01-03,3,購入手続き開始,494,0.6047,0.0966
2025-01-03,4,購入完了,236,0.4777,0.0461
2025-01-04,1,商品閲覧,9140,1.0,1.0
2025-01-04,2,カート追加,1798,0.1967,0.1967
2025-01-04,3,購入手続き開始,1165,0.6479,0.1275
2025-01-04,4,購入完了,348,0.2987,0.0381
2025-01-05,1,商品閲覧,8792,1.0,1.0
2025-01-05,2,カート追加,1978,0.225,0.225
2025-01-05,3,購入手続き開始,1045,0.5283,0.1189
2025-01-05,4,購入完了,492,0.4708,0.056
2025-01-06,1,商品閲覧,6279,1.0,1.0
2025-01-06,2,カート追加,992,0.158,0.158
2025-01-06,3,購入手続き開始,633,0.6381,0.1008
2025-01-06,4,購入完了,279,0.4408,0.0444
2025-01-07,1,商品閲覧,6092,1.0,1.0
2025-01-07,2,カート追加,994,0.1632,0.1632
2025-01-07,3,購入手続き開始,668,0.672,0.1097
2025-01-07,4,購入完了,372,0.5569,0.0611
2025-01-08,1,商品閲覧,4766,1.0,1.0
2025-01-08,2,カート追加,883,0.1853,0.1853
2025-01-08,3,購入手続き開始,446,0.5051,0.0936
2025-01-08,4,購入完了,250,0.5605,0.0525
2025-01-09,1,商品閲覧,6041,1.0,1.0
2025-01-09,2,カート追加,1463,0.2422,0.2422
2025-01-09,3,購入手続き開始,906,0.6193,0.15
2025-01-09,4,購入完了,383,0.4227,0.0634
2025-01-10,1,商品閲覧,5715,1.0,1.0
2025-01-10,2,カート追加,935,0.1636,0.1636
2025-01-10,3,購入手続き開始,573,0.6128,0.1003
2025-01-10,4,購入完了,245,0.4276,0.0429
2025-01-11,1,商品閲覧,10994,1.0,1.0
2025-01-11,2,カート追加,2226,0.2025,0.2025
2025-01-11,3,購入手続き開始,1153,0.518,0.1049
2025-01-11,4,購入完了,463,0.4016,0.0421
2025-01-12,1,商品閲覧,8247,1.0,1.0
2025-01-12,2,カート追加,1741,0.2111,0.2111
2025-01-12,3,購入手続き開始,1124,0.6456,0.1363
2025-01-12,4,購入完了,479,0.4262,0.0581
2025-01-13,1,商品閲覧,5975,1.0,1.0
2025-01-13,2,カート追加,1356,0.2269,0.2269
2025-01-13,3,購入手続き開始,857,0.632,0.1434
2025-01-13,4,購入完了,259,0.3022,0.0433
2025-01-14,1,商品閲覧,4525,1.0,1.0
2025-01-14,2,カート追加,861,0.1903,0.1903
2025-01-14,3,購入手続き開始,564,0.6551,0.1246
2025-01-14,4,購入完了,253,0.4486,0.0559
2025-01-15,1,商品閲覧,5853,1.0,1.0
2025-01-15,2,カート追加,924,0.1579,0.1579
2025-01-15,3,購入手続き開始,560,0.6061,0.0957
2025-01-15,4,購入完了,261,0.4661,0.0446
